"stop_id","stop_code","stop_name","stop_desc","stop_lat","stop_lon","zone_id","stop_url","location_type","parent_station","stop_timezone","wheelchair_boarding","level_id","platform_code"
"100457-21148","","Светлый бульвар","","55.553022","37.329764","","","0","","","0","",""
"100457-21149","","Светлый бульвар","","55.552981","37.329113","","","0","","","0","",""
"100457-21238","","Раменский бульвар","","55.68662","37.522784","","","0","","","0","",""
"100457-21254","","Музей «Коломенское»","","55.667201","37.658517","","","0","","","0","",""
"100457-21256","","Метро «Сокольники»","","55.789799","37.678839","","","0","","","0","",""
"100457-21266","","Сочинская улица","","55.716317","37.928489","","","0","","","0","",""
"100457-21182","","Багратионовский проезд","","55.742247","37.501027","","","0","","","0","",""
"100457-21313","","Ватутинки Парк","","55.490206","37.334159","","","0","","","0","",""
"100457-21235","","Метро «Авиамоторная»","","55.754711","37.715901","","","0","","","0","",""
"100457-21196","","Серпуховский Вал","","55.712456","37.606814","","","0","","","0","",""
"100457-21273","","Школа искусств «Родник»","","55.636224","37.672545","","","0","","","0","",""
"100457-21215","","Ильино","","55.17905","37.036897","","","0","","","0","",""
"100457-21274","","Школа искусств «Родник»","","55.636367","37.671885","","","0","","","0","",""
"100457-21216","","Серпуховский Вал","","55.711473","37.608239","","","0","","","0","",""
"100457-21217","","Серпуховский Вал","","55.711223","37.605059","","","0","","","0","",""
"100457-21277","","Кантемировская улица, 39","","55.637068","37.660581","","","0","","","0","",""
"100457-21236","","Метро «Сокольники»","","55.789162","37.681183","","","0","","","0","",""
"100457-21278","","Кантемировская улица, 39","","55.637363","37.658231","","","0","","","0","",""
"100457-21314","","Метро «Лефортово»","","55.764317","37.703386","","","0","","","0","",""
"100457-21316","","Солдатская улица","","55.765454","37.700859","","","0","","","0","",""
"100457-21368","","Усадьба Клёново","","55.323702","37.348954","","","0","","","0","",""
"100457-21406","","Сквер Судакова","","55.673357","37.749059","","","0","","","0","",""
"100457-21408","","Южный речной вокзал","","55.690091","37.675705","","","0","","","0","",""
"100457-21409","","Южный речной вокзал","","55.689958","37.674221","","","0","","","0","",""
"100457-21414","","Русаковская улица","","55.781707","37.668195","","","0","","","0","",""
"100457-21415","","Хабаровская улица","","55.812313","37.827316","","","0","","","0","",""
"100457-180","","Институт микрохирургии глаза","","55.873486","37.537151","","","0","","","0","",""
"100457-181","","Базовская улица","","55.883488","37.517794","","","0","","","0","",""
"100457-10914","","Жедочи","","55.474892","37.068155","","","0","","","0","",""
"100457-182","","Кронштадтский бульв.","","55.842955","37.496763","","","0","","","0","",""
"100457-194","","4-й Новомихалковский проезд","","55.840752","37.545065","","","0","","","0","",""
"100457-183","","Пожарная часть","","55.843805","37.500204","","","0","","","0","",""
"100457-195","","Кадетский корпус полиции","","55.843206","37.54342","","","0","","","0","",""
"100457-191","","Кадетский корпус полиции","","55.842497","37.543638","","","0","","","0","",""
"100457-203","","Пожарная часть","","55.843703","37.499126","","","0","","","0","",""
"100457-204","","Кронштадтский бульв.","","55.842896","37.495845","","","0","","","0","",""
"100457-206","","Улица Дыбенко, 6","","55.868518","37.484655","","","0","","","0","",""
"100457-208","","Интернат","","55.873469","37.468552","","","0","","","0","",""
"100457-210","","Смольная ул., 61","","55.869247","37.472911","","","0","","","0","",""
"100457-211","","Метро «Беломорская»","","55.866329","37.475936","","","0","","","0","",""
"100457-212","","Смольная ул.","","55.85833","37.486358","","","0","","","0","",""
"100457-213","","Фестивальная улица, 14","","55.860181","37.496173","","","0","","","0","",""
"100457-214","","Фестивальная ул., 65","","55.860995","37.501136","","","0","","","0","",""
"100457-222","","Фестивальная ул.","","55.862808","37.506749","","","0","","","0","",""
"100457-217","","Фестивальная улица, 14","","55.860237","37.495021","","","0","","","0","",""
"100457-216","","Фестивальная улица","","55.861894","37.503609","","","0","","","0","",""
"100457-218","","Метро «Беломорская»","","55.866918","37.475723","","","0","","","0","",""
"100457-219","","Смольная ул., 61","","55.870064","37.472503","","","0","","","0","",""
"100457-225","","Зеленоградская улица, 21","","55.873851","37.497375","","","0","","","0","",""
"100457-226","","Почта","","55.875548","37.493628","","","0","","","0","",""
"100457-227","","Детский клуб","","55.876813","37.490572","","","0","","","0","",""
"100457-228","","Детский клуб","","55.876371","37.491052","","","0","","","0","",""
"100457-229","","Почта","","55.874953","37.494625","","","0","","","0","",""
"100457-230","","Зеленоградская улица, 21","","55.872973","37.49836","","","0","","","0","",""
"100457-232","","Грачёвский парк","","55.863638","37.507687","","","0","","","0","",""
"100457-233","","Фестивальная ул., 65","","55.861015","37.499755","","","0","","","0","",""
"100457-242","","2-й Балтийский пер.","","55.806443","37.52397","","","0","","","0","",""
"100457-260","","Пулковская улица","","55.846324","37.48944","","","0","","","0","",""
"100457-9419","","Сосенки","","55.562713","37.441171","","","0","","","0","",""
"100457-261","","Флотская ул., 36","","55.850791","37.492344","","","0","","","0","",""
"100457-244","","4-я ул. 8-го Марта","","55.802229","37.546189","","","0","","","0","",""
"100457-262","","Поликлиника","","55.853992","37.501081","","","0","","","0","",""
"100457-245","","1-я ул. 8-го Марта","","55.800279","37.549353","","","0","","","0","",""
"100457-263","","Школа № 648","","55.854972","37.503834","","","0","","","0","",""
"100457-246","","Петровско-Разумовская аллея","","55.794878","37.558959","","","0","","","0","",""
"100457-264","","Флотская ул.","","55.857003","37.509493","","","0","","","0","",""
"100457-247","","1-я улица 8 Марта","","55.801127","37.548413","","","0","","","0","",""
"100457-265","","Солнечногорская улица","","55.856775","37.514787","","","0","","","0","",""
"100457-248","","4-я ул. 8-го Марта","","55.803153","37.545178","","","0","","","0","",""
"100457-250","","Российская открытая академия транспорта","","55.809729","37.525738","","","0","","","0","",""
"100457-266","","Сенежская ул.,1 - Колледж предпринимательства","","55.859736","37.516578","","","0","","","0","",""
"100457-251","","1-й Балтийский пер.","","55.81114","37.520241","","","0","","","0","",""
